nombre,tipo,edificio,latitud,longitud,piso
Edificio 5K,edificio,5K,29.082388894306355,-110.96241710149906,1
Edificio 5L,edificio,5L,29.0823448400774,-110.962725868815,1
Edificio 5M,edificio,5M,29.0822098308036,-110.96245940314,1
Edificio 5O,edificio,5O,29.0821830589596,-110.962762078136,1
Edificio 5J,edificio,5J,29.081838828164216,-110.96272013907829,1
Edificio 5N,edificio,5N,29.0818853647809,-110.962255140638,1
Edificio 5I,edificio,5I,29.0817119047871,-110.963290473294,1
Edificio 5H,edificio,5H,29.0815395747548,-110.963158613509,1
Edificio 5G,edificio,5G,29.081630295935124,-110.96250631516564,1
Edificio 5R,edificio,5R,29.08233050569748,110.96311204722723,1
Edificio 5Q,edificio,5Q,29.0812526479263,-110.963257152601,1
Edificio 5E,edificio,5E,29.081433556766,-110.962693199062,1
Edificio 5F,edificio,5F,29.0814502049783,-110.962217206231,1
Edificio 5C,edificio,5C,29.08097484739,-110.963210229834,1
Edificio 5D,edificio,5D,29.0811489380267,-110.962713080871,1
Edificio 5B,edificio,5B,29.0812271087413,-110.962261527786,1
Edificio 5P,edificio,5P,29.0805766598018,-110.963092428598,1
Edificio 5A1,edificio,5A1,29.0807096236924,-110.962504488704,1
Edificio 5A2,edificio,5A2,29.0807314179523,-110.962005344006,1
Edificio 5T,edificio,5T,29.080492270223,-110.962700026905,1
Edificio 5S,edificio,5S,29.0805192271818,-110.962386208456,1